,event_type,log_feature,volume,resource_type,severity_type
14506,event_type 13,feature 54,1,resource_type 6,severity_type 1
14507,event_type 35,feature 313,1,resource_type 2,severity_type 2
14508,event_type 34,feature 232,5,resource_type 2,severity_type 2
14509,event_type 19,feature 134,1,resource_type 9,severity_type 1
14510,event_type 11,feature 64,1,resource_type 8,severity_type 1
14511,event_type 10,feature 35,1,resource_type 8,severity_type 1
14512,event_type 35,feature 221,1,resource_type 2,severity_type 1
14513,event_type 11,feature 313,1,resource_type 8,severity_type 2
14514,event_type 11,feature 306,2,resource_type 8,severity_type 2
14515,event_type 34,feature 232,5,resource_type 2,severity_type 2
14516,event_type 2,feature 136,2,resource_type 8,severity_type 1
14517,event_type 11,feature 80,1,resource_type 8,severity_type 1
14518,event_type 15,feature 80,3,resource_type 8,severity_type 1
14519,event_type 18,feature 179,2,resource_type 8,severity_type 1
14520,event_type 11,feature 320,2,resource_type 6,severity_type 1
14521,event_type 34,feature 229,1,resource_type 2,severity_type 2
14522,event_type 44,feature 290,2,resource_type 2,severity_type 1
14523,event_type 35,feature 312,1,resource_type 2,severity_type 4
14524,event_type 11,feature 134,2,resource_type 2,severity_type 1
14525,event_type 28,feature 240,2,resource_type 3,severity_type 1
14526,event_type 11,feature 56,9,resource_type 2,severity_type 1
14527,event_type 11,feature 193,90,resource_type 8,severity_type 1
14528,event_type 15,feature 56,2,resource_type 8,severity_type 1
14529,event_type 53,feature 289,73,resource_type 2,severity_type 1
14530,event_type 34,feature 307,1,resource_type 2,severity_type 2
14531,event_type 15,feature 201,2,resource_type 8,severity_type 2
14532,event_type 11,feature 170,2,resource_type 8,severity_type 1
14533,event_type 15,feature 80,1,resource_type 8,severity_type 1
14534,event_type 34,feature 232,5,resource_type 2,severity_type 2
14535,event_type 15,feature 203,7,resource_type 2,severity_type 1
14536,event_type 34,feature 232,1,resource_type 2,severity_type 2
14537,event_type 15,feature 82,8,resource_type 8,severity_type 1
14538,event_type 34,feature 312,36,resource_type 2,severity_type 2
14539,event_type 20,feature 312,1,resource_type 2,severity_type 1
14540,event_type 11,feature 109,22,resource_type 8,severity_type 1
14541,event_type 34,feature 219,1,resource_type 2,severity_type 1
14542,event_type 11,feature 68,2,resource_type 8,severity_type 1
14543,event_type 20,feature 219,1,resource_type 3,severity_type 1
14544,event_type 34,feature 232,2,resource_type 2,severity_type 2
14545,event_type 34,feature 313,3,resource_type 2,severity_type 2
14546,event_type 11,feature 55,4,resource_type 8,severity_type 1
14547,event_type 13,feature 68,12,resource_type 6,severity_type 1
14548,event_type 35,feature 235,2,resource_type 2,severity_type 2
14549,event_type 43,feature 283,1,resource_type 2,severity_type 2
14550,event_type 20,feature 134,1,resource_type 2,severity_type 1
14551,event_type 11,feature 134,1,resource_type 8,severity_type 1
14552,event_type 44,feature 283,1,resource_type 2,severity_type 1
14553,event_type 11,feature 195,2,resource_type 8,severity_type 2
14554,event_type 34,feature 313,4,resource_type 2,severity_type 2
14555,event_type 13,feature 273,1,resource_type 8,severity_type 1
14556,event_type 11,feature 273,4,resource_type 7,severity_type 1
14557,event_type 20,feature 306,2,resource_type 8,severity_type 1
14558,event_type 35,feature 312,11,resource_type 2,severity_type 2
14559,event_type 13,feature 170,14,resource_type 7,severity_type 1
14560,event_type 20,feature 134,1,resource_type 8,severity_type 1
14561,event_type 35,feature 313,1,resource_type 2,severity_type 2
14562,event_type 54,feature 193,2,resource_type 8,severity_type 1
14563,event_type 34,feature 211,4,resource_type 8,severity_type 1
14564,event_type 35,feature 315,1,resource_type 2,severity_type 2
14565,event_type 20,feature 306,1,resource_type 2,severity_type 1
14566,event_type 34,feature 211,1,resource_type 8,severity_type 1
14567,event_type 11,feature 8,2,resource_type 1,severity_type 1
14568,event_type 34,feature 314,26,resource_type 2,severity_type 2
14569,event_type 35,feature 228,1,resource_type 2,severity_type 2
14570,event_type 11,feature 68,2,resource_type 4,severity_type 1
14571,event_type 11,feature 201,1,resource_type 8,severity_type 1
14572,event_type 35,feature 312,1,resource_type 2,severity_type 2
14573,event_type 35,feature 227,1,resource_type 8,severity_type 2
14574,event_type 11,feature 68,2,resource_type 8,severity_type 1
14575,event_type 14,feature 54,5,resource_type 4,severity_type 1
14576,event_type 11,feature 345,1,resource_type 8,severity_type 1
14577,event_type 14,feature 162,2,resource_type 2,severity_type 1
14578,event_type 15,feature 71,18,resource_type 8,severity_type 1
14579,event_type 35,feature 312,1,resource_type 2,severity_type 4
14580,event_type 15,feature 71,2,resource_type 8,severity_type 1
14581,event_type 35,feature 232,40,resource_type 2,severity_type 2
14582,event_type 34,feature 313,1,resource_type 2,severity_type 2
14583,event_type 34,feature 235,1,resource_type 2,severity_type 2
14584,event_type 11,feature 54,1,resource_type 8,severity_type 1
14585,event_type 11,feature 82,24,resource_type 8,severity_type 1
14586,event_type 34,feature 301,1,resource_type 2,severity_type 2
14587,event_type 35,feature 232,1,resource_type 2,severity_type 2
14588,event_type 34,feature 233,10,resource_type 2,severity_type 2
14589,event_type 15,feature 203,5,resource_type 8,severity_type 2
14590,event_type 11,feature 133,1,resource_type 9,severity_type 1
14591,event_type 15,feature 71,9,resource_type 8,severity_type 1
14592,event_type 34,feature 314,9,resource_type 2,severity_type 2
14593,event_type 42,feature 368,3,resource_type 2,severity_type 1
14594,event_type 35,feature 227,1,resource_type 2,severity_type 2
14595,event_type 20,feature 134,1,resource_type 2,severity_type 1
14596,event_type 11,feature 54,6,resource_type 8,severity_type 1
14597,event_type 20,feature 55,42,resource_type 2,severity_type 1
14598,event_type 34,feature 312,1,resource_type 2,severity_type 2
14599,event_type 13,feature 345,2,resource_type 6,severity_type 1
14600,event_type 23,feature 280,1,resource_type 8,severity_type 2
14601,event_type 34,feature 235,1,resource_type 2,severity_type 2
14602,event_type 11,feature 222,2,resource_type 2,severity_type 1
14603,event_type 11,feature 170,16,resource_type 8,severity_type 1
14604,event_type 35,feature 232,4,resource_type 2,severity_type 2
14605,event_type 11,feature 54,5,resource_type 6,severity_type 1
14606,event_type 20,feature 232,1,resource_type 2,severity_type 1
14607,event_type 11,feature 68,2,resource_type 4,severity_type 1
14608,event_type 34,feature 307,1,resource_type 2,severity_type 2
14609,event_type 34,feature 235,1,resource_type 2,severity_type 2
14610,event_type 35,feature 227,1,resource_type 2,severity_type 2
14611,event_type 11,feature 51,4,resource_type 8,severity_type 1
14612,event_type 30,feature 133,3,resource_type 9,severity_type 5
14613,event_type 23,feature 306,2,resource_type 8,severity_type 1
14614,event_type 13,feature 68,2,resource_type 4,severity_type 1
14615,event_type 35,feature 312,1,resource_type 2,severity_type 2
14616,event_type 11,feature 46,2,resource_type 8,severity_type 2
14617,event_type 42,feature 291,3,resource_type 2,severity_type 1
14618,event_type 11,feature 170,1,resource_type 8,severity_type 2
14619,event_type 34,feature 134,1,resource_type 2,severity_type 1
14620,event_type 11,feature 160,5,resource_type 2,severity_type 1
14621,event_type 35,feature 234,55,resource_type 2,severity_type 2
14622,event_type 54,feature 82,14,resource_type 8,severity_type 1
14623,event_type 11,feature 75,1,resource_type 7,severity_type 1
14624,event_type 11,feature 160,2,resource_type 8,severity_type 1
14625,event_type 34,feature 312,1,resource_type 2,severity_type 2
14626,event_type 13,feature 54,1,resource_type 8,severity_type 1
14627,event_type 54,feature 360,1,resource_type 2,severity_type 4
14628,event_type 34,feature 232,2,resource_type 8,severity_type 1
14629,event_type 34,feature 309,1,resource_type 2,severity_type 2
14630,event_type 34,feature 233,4,resource_type 2,severity_type 2
14631,event_type 10,feature 240,9,resource_type 3,severity_type 1
14632,event_type 18,feature 327,1,resource_type 6,severity_type 1
14633,event_type 34,feature 312,6,resource_type 2,severity_type 2
14634,event_type 34,feature 315,4,resource_type 2,severity_type 2
14635,event_type 13,feature 273,1,resource_type 8,severity_type 1
14636,event_type 23,feature 345,1,resource_type 8,severity_type 1
14637,event_type 34,feature 232,93,resource_type 2,severity_type 2
14638,event_type 11,feature 68,2,resource_type 6,severity_type 1
14639,event_type 11,feature 171,5,resource_type 8,severity_type 1
14640,event_type 54,feature 193,1,resource_type 8,severity_type 1
14641,event_type 15,feature 82,12,resource_type 8,severity_type 1
14642,event_type 22,feature 68,1,resource_type 6,severity_type 1
14643,event_type 11,feature 82,2,resource_type 2,severity_type 1
14644,event_type 35,feature 312,6,resource_type 2,severity_type 1
14645,event_type 54,feature 193,1,resource_type 2,severity_type 1
14646,event_type 11,feature 162,3,resource_type 8,severity_type 1
14647,event_type 35,feature 134,1,resource_type 2,severity_type 1
14648,event_type 35,feature 312,3,resource_type 2,severity_type 4
14649,event_type 39,feature 55,1,resource_type 9,severity_type 1
14650,event_type 30,feature 218,1,resource_type 3,severity_type 1
14651,event_type 11,feature 54,3,resource_type 4,severity_type 1
14652,event_type 13,feature 306,4,resource_type 7,severity_type 1
14653,event_type 34,feature 229,1,resource_type 2,severity_type 2
14654,event_type 20,feature 91,1,resource_type 7,severity_type 1
14655,event_type 11,feature 54,4,resource_type 8,severity_type 4
14656,event_type 34,feature 315,4,resource_type 2,severity_type 2
14657,event_type 11,feature 207,1,resource_type 2,severity_type 1
14658,event_type 43,feature 368,1,resource_type 2,severity_type 1
14659,event_type 35,feature 312,1,resource_type 2,severity_type 4
14660,event_type 34,feature 235,6,resource_type 2,severity_type 2
14661,event_type 35,feature 160,3,resource_type 8,severity_type 1
14662,event_type 34,feature 313,1,resource_type 2,severity_type 2
14663,event_type 35,feature 312,1,resource_type 2,severity_type 2
14664,event_type 28,feature 212,2,resource_type 3,severity_type 1
14665,event_type 23,feature 75,1,resource_type 8,severity_type 2
14666,event_type 35,feature 235,3,resource_type 2,severity_type 2
14667,event_type 35,feature 357,1,resource_type 8,severity_type 1
14668,event_type 11,feature 56,1,resource_type 1,severity_type 1
14669,event_type 23,feature 179,14,resource_type 4,severity_type 1
14670,event_type 34,feature 236,3,resource_type 2,severity_type 2
14671,event_type 35,feature 232,4,resource_type 2,severity_type 2
14672,event_type 20,feature 82,21,resource_type 8,severity_type 1
14673,event_type 35,feature 308,1,resource_type 2,severity_type 2
14674,event_type 11,feature 273,1,resource_type 8,severity_type 1
14675,event_type 11,feature 157,1,resource_type 8,severity_type 2
14676,event_type 11,feature 345,1,resource_type 2,severity_type 1
14677,event_type 15,feature 82,6,resource_type 8,severity_type 2
14678,event_type 20,feature 134,1,resource_type 2,severity_type 1
14679,event_type 44,feature 376,10,resource_type 2,severity_type 1
14680,event_type 35,feature 312,2,resource_type 8,severity_type 1
14681,event_type 13,feature 170,1,resource_type 6,severity_type 1
14682,event_type 15,feature 196,2,resource_type 8,severity_type 1
14683,event_type 34,feature 232,2,resource_type 2,severity_type 2
14684,event_type 34,feature 235,1,resource_type 2,severity_type 2
14685,event_type 11,feature 273,1,resource_type 6,severity_type 1
14686,event_type 11,feature 54,5,resource_type 8,severity_type 1
14687,event_type 11,feature 54,2,resource_type 8,severity_type 1
14688,event_type 34,feature 314,31,resource_type 2,severity_type 2
14689,event_type 11,feature 307,1,resource_type 2,severity_type 2
14690,event_type 34,feature 312,2,resource_type 2,severity_type 2
14691,event_type 44,feature 368,1,resource_type 2,severity_type 2
14692,event_type 11,feature 75,1,resource_type 4,severity_type 4
14693,event_type 34,feature 235,2,resource_type 2,severity_type 2
14694,event_type 11,feature 170,10,resource_type 8,severity_type 1
14695,event_type 11,feature 82,26,resource_type 8,severity_type 1
14696,event_type 11,feature 145,4,resource_type 4,severity_type 1
14697,event_type 11,feature 196,1,resource_type 8,severity_type 1
14698,event_type 20,feature 81,2,resource_type 2,severity_type 1
14699,event_type 15,feature 201,2,resource_type 8,severity_type 1
14700,event_type 35,feature 221,1,resource_type 2,severity_type 1
14701,event_type 23,feature 306,2,resource_type 8,severity_type 2
14702,event_type 13,feature 68,8,resource_type 8,severity_type 1
14703,event_type 34,feature 313,3,resource_type 2,severity_type 2
14704,event_type 14,feature 170,1,resource_type 4,severity_type 2
14705,event_type 34,feature 232,4,resource_type 2,severity_type 2
14706,event_type 22,feature 75,1,resource_type 7,severity_type 2
14707,event_type 54,feature 82,44,resource_type 8,severity_type 1
14708,event_type 34,feature 232,1,resource_type 2,severity_type 2
14709,event_type 15,feature 68,1,resource_type 8,severity_type 2
14710,event_type 18,feature 248,1,resource_type 8,severity_type 1
14711,event_type 14,feature 170,2,resource_type 8,severity_type 1
14712,event_type 35,feature 227,2,resource_type 2,severity_type 2
14713,event_type 35,feature 234,15,resource_type 2,severity_type 2
14714,event_type 15,feature 71,3,resource_type 8,severity_type 1
14715,event_type 11,feature 202,2,resource_type 8,severity_type 1
14716,event_type 35,feature 312,1,resource_type 2,severity_type 2
14717,event_type 11,feature 71,3,resource_type 8,severity_type 1
14718,event_type 34,feature 307,3,resource_type 2,severity_type 2
14719,event_type 20,feature 94,1,resource_type 8,severity_type 1
14720,event_type 35,feature 232,44,resource_type 2,severity_type 2
14721,event_type 35,feature 313,6,resource_type 2,severity_type 2
14722,event_type 15,feature 80,1,resource_type 8,severity_type 1
14723,event_type 11,feature 54,2,resource_type 8,severity_type 1
14724,event_type 15,feature 172,2,resource_type 8,severity_type 1
14725,event_type 15,feature 203,4,resource_type 8,severity_type 2
14726,event_type 11,feature 310,1,resource_type 2,severity_type 1
14727,event_type 22,feature 273,4,resource_type 6,severity_type 1
14728,event_type 11,feature 68,1,resource_type 8,severity_type 1
14729,event_type 34,feature 44,2,resource_type 2,severity_type 1
14730,event_type 15,feature 82,5,resource_type 8,severity_type 1
14731,event_type 54,feature 201,2,resource_type 2,severity_type 1
14732,event_type 34,feature 315,8,resource_type 2,severity_type 2
14733,event_type 23,feature 305,3,resource_type 7,severity_type 1
14734,event_type 15,feature 71,1,resource_type 8,severity_type 1
14735,event_type 35,feature 232,2,resource_type 2,severity_type 1
14736,event_type 15,feature 71,8,resource_type 8,severity_type 1
14737,event_type 35,feature 301,1,resource_type 2,severity_type 1
14738,event_type 23,feature 48,1,resource_type 8,severity_type 1
14739,event_type 11,feature 86,1,resource_type 8,severity_type 1
14740,event_type 54,feature 71,3,resource_type 2,severity_type 1
14741,event_type 34,feature 307,1,resource_type 2,severity_type 2
14742,event_type 34,feature 312,1,resource_type 2,severity_type 1
14743,event_type 11,feature 160,3,resource_type 8,severity_type 1
14744,event_type 35,feature 313,5,resource_type 2,severity_type 2
14745,event_type 50,feature 291,2,resource_type 2,severity_type 1
14746,event_type 54,feature 80,2,resource_type 8,severity_type 1
14747,event_type 34,feature 232,2,resource_type 2,severity_type 2
14748,event_type 20,feature 285,14,resource_type 2,severity_type 1
14749,event_type 15,feature 71,3,resource_type 9,severity_type 2
14750,event_type 34,feature 313,5,resource_type 2,severity_type 2
14751,event_type 20,feature 219,1,resource_type 2,severity_type 1
14752,event_type 35,feature 229,27,resource_type 2,severity_type 2
14753,event_type 54,feature 76,6,resource_type 8,severity_type 1
14754,event_type 18,feature 327,2,resource_type 8,severity_type 1
14755,event_type 35,feature 307,7,resource_type 2,severity_type 2
14756,event_type 20,feature 134,2,resource_type 2,severity_type 1
14757,event_type 14,feature 273,1,resource_type 4,severity_type 1
14758,event_type 35,feature 235,1,resource_type 2,severity_type 2
14759,event_type 14,feature 163,2,resource_type 7,severity_type 1
14760,event_type 35,feature 301,1,resource_type 2,severity_type 1
14761,event_type 34,feature 310,29,resource_type 2,severity_type 2
14762,event_type 14,feature 306,3,resource_type 6,severity_type 1
14763,event_type 11,feature 44,1,resource_type 2,severity_type 1
14764,event_type 22,feature 54,128,resource_type 4,severity_type 1
14765,event_type 40,feature 162,1,resource_type 4,severity_type 1
14766,event_type 11,feature 207,1,resource_type 8,severity_type 1
14767,event_type 20,feature 219,1,resource_type 2,severity_type 1
14768,event_type 34,feature 314,38,resource_type 2,severity_type 2
14769,event_type 35,feature 232,1,resource_type 2,severity_type 1
14770,event_type 11,feature 273,1,resource_type 7,severity_type 1
14771,event_type 34,feature 309,1,resource_type 2,severity_type 2
14772,event_type 34,feature 312,48,resource_type 2,severity_type 2
14773,event_type 14,feature 273,2,resource_type 7,severity_type 1
14774,event_type 35,feature 312,5,resource_type 2,severity_type 2
14775,event_type 34,feature 312,2,resource_type 2,severity_type 1
14776,event_type 42,feature 283,10,resource_type 2,severity_type 1
14777,event_type 44,feature 290,15,resource_type 2,severity_type 1
14778,event_type 11,feature 56,1,resource_type 8,severity_type 1
14779,event_type 11,feature 307,1,resource_type 2,severity_type 1
14780,event_type 11,feature 82,22,resource_type 8,severity_type 1
14781,event_type 35,feature 232,2,resource_type 2,severity_type 2
14782,event_type 11,feature 54,1,resource_type 4,severity_type 1
14783,event_type 35,feature 312,32,resource_type 2,severity_type 2
14784,event_type 53,feature 288,1,resource_type 2,severity_type 1
14785,event_type 34,feature 315,1,resource_type 2,severity_type 2
14786,event_type 11,feature 68,2,resource_type 8,severity_type 1
14787,event_type 35,feature 315,6,resource_type 2,severity_type 2
14788,event_type 44,feature 368,10,resource_type 2,severity_type 1
14789,event_type 34,feature 307,2,resource_type 2,severity_type 2
14790,event_type 35,feature 307,2,resource_type 2,severity_type 2
14791,event_type 35,feature 307,1,resource_type 2,severity_type 2
14792,event_type 54,feature 82,8,resource_type 8,severity_type 1
14793,event_type 29,feature 133,2,resource_type 3,severity_type 1
14794,event_type 35,feature 94,4,resource_type 8,severity_type 1
14795,event_type 35,feature 313,2,resource_type 2,severity_type 2
14796,event_type 34,feature 313,1,resource_type 2,severity_type 2
14797,event_type 23,feature 306,10,resource_type 7,severity_type 4
14798,event_type 34,feature 307,1,resource_type 2,severity_type 2
14799,event_type 15,feature 203,1,resource_type 8,severity_type 2
14800,event_type 11,feature 170,3,resource_type 8,severity_type 1
14801,event_type 15,feature 203,14,resource_type 8,severity_type 1
14802,event_type 42,feature 290,2,resource_type 2,severity_type 2
14803,event_type 11,feature 203,4,resource_type 8,severity_type 1
14804,event_type 11,feature 76,6,resource_type 8,severity_type 1
14805,event_type 15,feature 80,3,resource_type 8,severity_type 2
14806,event_type 11,feature 73,1,resource_type 8,severity_type 2
14807,event_type 34,feature 234,1,resource_type 2,severity_type 2
14808,event_type 6,feature 170,40,resource_type 8,severity_type 1
14809,event_type 34,feature 229,2,resource_type 2,severity_type 2
14810,event_type 20,feature 219,1,resource_type 2,severity_type 1
14811,event_type 35,feature 310,60,resource_type 8,severity_type 1
14812,event_type 32,feature 54,2,resource_type 8,severity_type 1
14813,event_type 34,feature 233,1,resource_type 2,severity_type 2
14814,event_type 11,feature 193,5,resource_type 8,severity_type 1
14815,event_type 34,feature 312,33,resource_type 2,severity_type 2
14816,event_type 47,feature 369,3,resource_type 2,severity_type 1
14817,event_type 11,feature 41,1,resource_type 8,severity_type 1
14818,event_type 53,feature 288,1,resource_type 2,severity_type 1
14819,event_type 11,feature 306,1,resource_type 7,severity_type 1
14820,event_type 11,feature 203,2,resource_type 8,severity_type 1
14821,event_type 11,feature 39,1,resource_type 1,severity_type 1
14822,event_type 35,feature 232,2,resource_type 2,severity_type 2
14823,event_type 11,feature 73,2,resource_type 8,severity_type 2
14824,event_type 34,feature 134,1,resource_type 2,severity_type 1
14825,event_type 35,feature 232,2,resource_type 2,severity_type 2
14826,event_type 20,feature 313,11,resource_type 2,severity_type 1
14827,event_type 14,feature 345,1,resource_type 6,severity_type 1
14828,event_type 5,feature 68,2,resource_type 8,severity_type 1
14829,event_type 35,feature 312,1,resource_type 2,severity_type 2
14830,event_type 11,feature 75,8,resource_type 7,severity_type 2
14831,event_type 11,feature 134,1,resource_type 2,severity_type 1
14832,event_type 23,feature 53,1,resource_type 6,severity_type 1
14833,event_type 11,feature 68,12,resource_type 4,severity_type 1
14834,event_type 35,feature 230,1,resource_type 2,severity_type 2
14835,event_type 44,feature 376,2,resource_type 2,severity_type 1
14836,event_type 11,feature 48,1,resource_type 6,severity_type 1
14837,event_type 54,feature 80,1,resource_type 2,severity_type 1
14838,event_type 34,feature 307,1,resource_type 2,severity_type 2
14839,event_type 35,feature 312,4,resource_type 2,severity_type 2
14840,event_type 35,feature 312,1,resource_type 2,severity_type 2
14841,event_type 20,feature 134,1,resource_type 2,severity_type 1
14842,event_type 15,feature 71,6,resource_type 2,severity_type 1
14843,event_type 34,feature 95,1,resource_type 2,severity_type 1
14844,event_type 15,feature 203,6,resource_type 8,severity_type 1
14845,event_type 54,feature 54,2,resource_type 8,severity_type 2
14846,event_type 15,feature 82,24,resource_type 8,severity_type 2
14847,event_type 35,feature 232,12,resource_type 2,severity_type 2
14848,event_type 50,feature 374,1,resource_type 2,severity_type 1
14849,event_type 34,feature 232,8,resource_type 2,severity_type 2
14850,event_type 34,feature 227,1,resource_type 2,severity_type 2
14851,event_type 18,feature 170,13,resource_type 8,severity_type 1
14852,event_type 44,feature 283,1,resource_type 2,severity_type 1
14853,event_type 23,feature 75,8,resource_type 7,severity_type 4
14854,event_type 15,feature 80,8,resource_type 8,severity_type 1
14855,event_type 15,feature 203,2,resource_type 8,severity_type 1
14856,event_type 26,feature 71,7,resource_type 8,severity_type 2
14857,event_type 19,feature 55,2,resource_type 5,severity_type 1
14858,event_type 34,feature 228,1,resource_type 2,severity_type 2
14859,event_type 35,feature 232,2,resource_type 2,severity_type 2
14860,event_type 11,feature 295,1,resource_type 8,severity_type 1
14861,event_type 35,feature 229,1,resource_type 2,severity_type 2
14862,event_type 15,feature 362,1,resource_type 8,severity_type 1
14863,event_type 35,feature 312,3,resource_type 2,severity_type 2
14864,event_type 34,feature 307,1,resource_type 2,severity_type 1
14865,event_type 15,feature 82,10,resource_type 8,severity_type 2
14866,event_type 34,feature 312,2,resource_type 2,severity_type 2
14867,event_type 34,feature 234,2,resource_type 2,severity_type 2
14868,event_type 35,feature 309,3,resource_type 2,severity_type 2
14869,event_type 35,feature 233,16,resource_type 2,severity_type 2
14870,event_type 34,feature 314,1,resource_type 2,severity_type 2
14871,event_type 13,feature 273,2,resource_type 6,severity_type 1
14872,event_type 11,feature 75,4,resource_type 8,severity_type 2
14873,event_type 35,feature 312,3,resource_type 2,severity_type 2
14874,event_type 14,feature 273,1,resource_type 7,severity_type 1
14875,event_type 35,feature 229,9,resource_type 2,severity_type 2
14876,event_type 35,feature 312,3,resource_type 2,severity_type 2
14877,event_type 34,feature 234,66,resource_type 2,severity_type 2
14878,event_type 35,feature 312,2,resource_type 2,severity_type 2
14879,event_type 13,feature 345,3,resource_type 6,severity_type 1
14880,event_type 11,feature 143,1,resource_type 2,severity_type 1
14881,event_type 34,feature 228,2,resource_type 2,severity_type 2
14882,event_type 11,feature 54,2,resource_type 8,severity_type 1
14883,event_type 11,feature 223,2,resource_type 8,severity_type 2
14884,event_type 39,feature 154,1,resource_type 9,severity_type 1
14885,event_type 23,feature 209,3,resource_type 8,severity_type 1
14886,event_type 35,feature 230,1,resource_type 2,severity_type 2
14887,event_type 34,feature 312,1,resource_type 2,severity_type 2
14888,event_type 35,feature 315,3,resource_type 2,severity_type 2
14889,event_type 34,feature 307,4,resource_type 2,severity_type 1
14890,event_type 23,feature 12,1,resource_type 4,severity_type 1
14891,event_type 42,feature 290,1,resource_type 2,severity_type 1
14892,event_type 34,feature 232,2,resource_type 2,severity_type 2
14893,event_type 11,feature 203,16,resource_type 8,severity_type 1
14894,event_type 35,feature 312,10,resource_type 2,severity_type 1
14895,event_type 11,feature 160,2,resource_type 2,severity_type 1
14896,event_type 34,feature 221,1,resource_type 2,severity_type 1
14897,event_type 18,feature 273,3,resource_type 6,severity_type 1
14898,event_type 11,feature 171,1,resource_type 8,severity_type 2
14899,event_type 35,feature 308,31,resource_type 2,severity_type 2
14900,event_type 11,feature 68,1,resource_type 8,severity_type 1
14901,event_type 35,feature 312,4,resource_type 2,severity_type 2
14902,event_type 42,feature 375,14,resource_type 2,severity_type 1
14903,event_type 11,feature 209,3,resource_type 8,severity_type 1
14904,event_type 54,feature 55,1,resource_type 2,severity_type 2
14905,event_type 20,feature 345,1,resource_type 2,severity_type 1
14906,event_type 11,feature 94,1,resource_type 8,severity_type 1
14907,event_type 14,feature 164,1,resource_type 7,severity_type 1
14908,event_type 11,feature 68,1,resource_type 8,severity_type 1
14909,event_type 35,feature 232,2,resource_type 2,severity_type 2
14910,event_type 11,feature 170,4,resource_type 4,severity_type 1
14911,event_type 43,feature 375,23,resource_type 2,severity_type 1
14912,event_type 21,feature 301,3,resource_type 2,severity_type 1
14913,event_type 35,feature 232,3,resource_type 2,severity_type 2
14914,event_type 11,feature 203,8,resource_type 2,severity_type 1
14915,event_type 34,feature 233,1,resource_type 2,severity_type 2
14916,event_type 20,feature 219,1,resource_type 2,severity_type 1
14917,event_type 34,feature 233,95,resource_type 2,severity_type 2
14918,event_type 11,feature 170,1,resource_type 8,severity_type 1
14919,event_type 35,feature 235,189,resource_type 2,severity_type 2
14920,event_type 11,feature 73,9,resource_type 8,severity_type 1
14921,event_type 15,feature 82,34,resource_type 8,severity_type 2
14922,event_type 20,feature 13,1,resource_type 8,severity_type 1
14923,event_type 11,feature 193,11,resource_type 8,severity_type 1
14924,event_type 46,feature 219,1,resource_type 2,severity_type 1
14925,event_type 34,feature 312,100,resource_type 2,severity_type 2
14926,event_type 11,feature 157,1,resource_type 8,severity_type 2
14927,event_type 34,feature 234,22,resource_type 2,severity_type 2
14928,event_type 11,feature 80,8,resource_type 8,severity_type 1
14929,event_type 34,feature 315,2,resource_type 2,severity_type 2
14930,event_type 34,feature 227,1,resource_type 2,severity_type 2
14931,event_type 11,feature 201,4,resource_type 2,severity_type 1
14932,event_type 11,feature 68,2,resource_type 8,severity_type 1
14933,event_type 15,feature 82,6,resource_type 2,severity_type 1
14934,event_type 18,feature 222,4,resource_type 8,severity_type 1
14935,event_type 22,feature 197,6,resource_type 7,severity_type 1
14936,event_type 11,feature 211,1,resource_type 8,severity_type 1
14937,event_type 35,feature 307,3,resource_type 2,severity_type 2
14938,event_type 35,feature 312,11,resource_type 2,severity_type 2
14939,event_type 11,feature 80,1,resource_type 8,severity_type 1
14940,event_type 34,feature 232,4,resource_type 2,severity_type 2
14941,event_type 44,feature 291,4,resource_type 2,severity_type 1
14942,event_type 35,feature 233,40,resource_type 2,severity_type 2
14943,event_type 35,feature 301,1,resource_type 2,severity_type 4
14944,event_type 42,feature 375,39,resource_type 2,severity_type 1
14945,event_type 34,feature 313,8,resource_type 2,severity_type 2
14946,event_type 11,feature 345,1,resource_type 6,severity_type 1
14947,event_type 11,feature 54,1,resource_type 6,severity_type 1
14948,event_type 34,feature 312,1,resource_type 2,severity_type 2
14949,event_type 54,feature 46,1,resource_type 4,severity_type 2
14950,event_type 35,feature 314,24,resource_type 2,severity_type 2
14951,event_type 35,feature 232,8,resource_type 2,severity_type 2
14952,event_type 20,feature 54,1,resource_type 7,severity_type 1
14953,event_type 34,feature 229,41,resource_type 2,severity_type 2
14954,event_type 22,feature 303,1,resource_type 6,severity_type 1
14955,event_type 34,feature 312,68,resource_type 2,severity_type 2
14956,event_type 35,feature 312,5,resource_type 2,severity_type 2
14957,event_type 15,feature 201,6,resource_type 8,severity_type 1
14958,event_type 15,feature 80,4,resource_type 8,severity_type 1
14959,event_type 15,feature 80,2,resource_type 8,severity_type 2
14960,event_type 35,feature 354,1,resource_type 8,severity_type 1
14961,event_type 35,feature 232,114,resource_type 2,severity_type 2
14962,event_type 15,feature 193,4,resource_type 8,severity_type 1
14963,event_type 11,feature 172,153,resource_type 8,severity_type 1
14964,event_type 15,feature 71,1,resource_type 8,severity_type 1
14965,event_type 34,feature 233,4,resource_type 2,severity_type 2
14966,event_type 35,feature 314,1,resource_type 2,severity_type 2
14967,event_type 34,feature 312,2,resource_type 2,severity_type 2
14968,event_type 15,feature 71,6,resource_type 8,severity_type 1
14969,event_type 34,feature 229,23,resource_type 2,severity_type 2
14970,event_type 13,feature 345,2,resource_type 8,severity_type 1
